1907,718,3400,1581,974,1386,1249,2395,2712,2973
924,2426,3794,487,1516,2837,2026,3132,555,3880
2330,1053,853,989,1367,3658,2756,1318,2383,3120
48,3627,1505,3928,3173,259,2255,2769,182,2687
2982,382,1479,2585,3529,755,83,3392,402,764
450,2232,1505,1046,1974,3237,1835,1175,2736,1701
1992,3636,146,3862,3591,2561,3678,3975,2178,1792
2534,933,432,2708,313,95,2930,980,2228,205
1064,2060,3325,3766,270,821,3235,1912,2862,627
675,3078,1563,3800,3455,3,3528,3499,2160,2648
2842,918,1376,700,2102,377,2145,3877,2732,506
1136,1102,2091,3790,886,2301,1573,2389,4036,3557
1288,1232,3639,3281,3170,536,3314,3380,342,3650
1979,1101,1449,1629,646,983,2467,206,133,643
1790,3508,2288,3376,4012,220,1874,531,387,1670
2347,1148,3095,3524,112,1784,121,3739,359,3968
2146,1660,2056,3027,196,3577,892,2943,3799,1314
2950,2391,412,461,2232,1257,2656,848,1308,3664
3475,232,2209,570,2279,2101,3180,533,537,3790
2732,1570,2003,1577,858,610,564,4051,1915,112
1616,3858,283,2033,661,1816,111,4042,1316,1684
3065,3541,1389,1247,1040,3738,834,3168,1872,3177
1429,1815,3405,3431,3676,3047,985,966,2950,3957
21,863,1097,175,597,528,284,1044,2427,1127
3613,2641,3244,4073,1094,822,3151,1051,2080,1179
1896,9,955,2070,738,3244,606,1577,2964,3199
3203,3571,1524,3497,2567,638,830,420,1383,952
1317,3651,3400,2851,3417,3567,1942,3985,1689,387
3462,683,1061,2350,2395,3376,1387,3888,1765,3459
3032,3846,693,2058,902,2188,482,2082,3100,2878
1686,418,2227,2332,1886,191,1060,3458,2605,2512
94,1358,1645,3026,2035,2206,3009,3866,2233,708
3586,3789,1954,1497,2487,3212,97,1153,2937,1070
3961,1582,1574,3262,3943,943,413,2836,1426,687
2200,1303,279,2139,3488,2273,684,591,694,1615
2289,3097,3136,1211,34,2493,4092,3765,301,1632
1449,2938,1297,1261,3537,2235,3646,1795,775,3837
197,3671,2651,130,869,1959,3566,3900,896,3161
4013,283,1464,338,1574,129,3543,586,1881,61
2409,3606,3977,943,2047,909,1396,3098,37,3274
