465,1054,3024,3733,2971,2238,156,1035,2483,3666
2356,3910,618,2221,612,3935,1182,114,1818,1145
847,3505,3289,586,1438,95,1219,624,4074,831
1288,506,2893,2055,3397,415,414,1086,4024,2357
3480,2378,1369,2632,814,3700,1723,1535,1645,3565
2560,3182,1500,399,1391,1748,501,3009,2869,294
172,80,3903,2673,2531,2070,1066,3104,3047,3377
805,2935,411,1752,949,1714,2422,873,2861,955
2518,94,3293,944,188,1194,1846,3545,2067,1442
804,2562,3887,469,2212,1380,2577,3726,2638,2944
3622,386,2506,442,27,3382,1417,2782,8,3496
337,1536,3322,2950,2986,2398,2329,3734,2595,1282
1608,1716,2324,1230,2714,1039,957,1796,3328,2490
2835,321,2999,1595,3318,1496,3978,3870,1250,3906
1947,976,1542,276,2465,2368,2672,2186,154,1437
2787,72,2206,1521,1674,616,1823,2673,147,2157
6,807,3144,3080,2496,3443,2105,3279,835,3326
1166,2478,2593,2962,2476,3975,3158,1582,213,2243
26,1902,1895,45,125,1871,1177,2424,62,3544
2004,1176,3200,1151,3204,1136,247,2396,1486,2820
2849,826,2711,3044,3401,2152,3738,2424,51,324
2610,239,2641,248,2299,254,3470,331,2594,3005
2636,1494,2118,1944,1264,1312,457,714,3377,126
4048,410,298,3455,1262,817,705,2589,328,1396
1985,592,1391,1923,2289,46,1032,1856,317,1611
636,1018,3043,174,3781,1132,3638,1472,710,2282
18,2966,1822,771,2849,3790,973,1147,3202,1740
2505,3135,2847,1558,2237,991,3782,3046,2555,3300
2361,1461,3738,3565,425,3219,1277,2465,160,2124
1852,726,375,2709,3828,3159,2916,876,2213,2036
1063,2783,984,1291,157,3414,3355,1449,2030,1521
3021,2792,2731,1820,1761,1550,3456,1918,136,580
365,1524,2964,728,589,2247,1365,480,3752,1901
2944,1684,1065,1849,2872,1551,3798,1995,2316,1312
2945,2301,2571,2490,1907,1637,3931,19,2900,3262
2020,361,343,757,1184,3138,3368,4036,1451,3277
2597,1382,1316,3900,3964,2312,307,1386,2673,3892
3042,3120,3602,1658,2144,2232,1223,1557,710,1743
577,632,4086,3724,2255,164,1614,2947,3269,813
1143,84,221,3791,2583,3888,3263,2497,635,3412
2582,321,2268,912,3906,496,558,220,1938,3960
2305,66,2850,42,580,2847,3426,187,1144,1600
2245,4003,1143,262,2210,615,4042,727,2583,1353
3731,1250,2738,3783,1507,1839,201,3139,2680,950
4043,2788,3466,3214,3563,1336,2656,3157,1802,4081
2945,3392,231,3452,3555,2660,3274,829,3926,528
1587,1011,2209,3876,658,3397,416,1495,3620,2006
3537,294,1180,3284,2771,334,1069,2565,37,3121
2807,1997,2433,2724,489,2639,4016,3956,1284,2871
1276,1952,2590,2403,572,1309,2731,2483,1126,1805
788,2191,2416,1641,2627,2899,1057,1786,2578,1671
2294,2404,1402,1585,3738,312,1110,1108,350,1075
3167,1112,3248,2003,1926,1095,3999,3546,374,87
3490,277,1175,2434,1806,2642,2414,2338,1879,168
2231,3637,94,2439,2755,2673,2995,4032,1650,1415
2327,3187,233,1513,3712,153,369,2168,821,1808
2560,3055,1008,2270,2257,2701,615,1779,2925,864
2983,1504,617,1547,3752,2228,3039,1684,208,1557
2181,3839,1175,3188,3784,3771,3876,3042,3337,113
1695,493,3970,3243,942,2742,3723,255,1390,2269
2484,2445,3700,1468,510,767,3402,376,3629,1733
844,21,3348,2363,1256,2421,727,294,3626,839
3771,3607,2476,1619,3330,726,38,2813,252,1857
124,3861,2058,3189,183,707,416,1506,320,772
1113,1413,1805,2159,476,1469,518,3763,279,3180
2279,1774,1331,3805,3282,1295,136,1173,3853,671
1524,3312,1178,2041,1560,1192,3590,120,4045,2532
3131,1680,2983,270,270,651,2556,1532,967,828
2183,3237,988,2675,3699,1865,642,2031,2557,2345
249,2132,413,3581,2957,570,3452,4016,1028,968
257,1717,3360,1731,1969,3772,3097,2099,2882,2885
3122,2941,1599,2741,3191,3186,4016,1559,2605,894
2090,3003,3669,1944,2912,2205,1336,3604,2373,1040
3551,3216,1844,1360,2535,2,1207,2203,2222,74
1481,3398,1476,822,2282,1480,3359,117,3616,1530
1775,24,2503,3121,2854,921,91,2067,1259,2977
634,525,2370,1048,227,3457,2070,2769,955,423
2048,1263,2535,2550,2047,2062,1911,3877,1214,2741
620,945,824,1378,3990,278,977,2306,1799,2250
2947,2776,1567,2873,3959,2911,2929,466,2343,1933
